word,PCA_1,PCA_2,cluster
movie,1.1402458,-3.1362317,2
film,2.3588014,-3.1510255,2
one,1.0169537,1.0595218,3
like,-0.45902613,-0.06028341,0
even,-0.54594916,0.95439,0
good,-1.1886338,0.1750623,0
bad,-1.2798423,-0.33636218,4
would,-5.4521042e-05,2.118429,0
really,-2.4903355,-0.32233033,4
time,0.86158794,1.1940167,3
story,0.84134984,-1.7972565,2
see,-0.875562,0.37790275,0
much,-0.5251278,0.85666555,0
get,-1.2687142,0.9963151,0
could,-0.30939725,1.9202845,0
made,0.9702856,0.9725034,3
people,-0.4375403,1.1485906,0
make,-0.62128645,1.1003032,0
well,0.653804,0.6357637,3
plot,0.62689996,-1.0850937,1
character,0.9526483,-2.6433916,2
first,2.299301,1.1695864,3
movies,0.9455677,-3.094712,2
way,-0.5594284,0.84429955,0
characters,0.95935637,-2.9541974,2
acting,0.74507177,-0.9124718,1
also,1.7191571,0.9625918,3
think,-2.2912738,0.32075226,4
watch,-0.29051793,-0.52906203,1
seen,0.31739208,0.11033111,1
better,-1.0346808,0.6045999,0
two,2.24716,1.6563128,3
know,-2.180077,0.188661,4
ever,-0.049537748,0.22011177,0
films,2.1194346,-3.1586611,2
never,-0.85841346,0.4739321,0
scene,1.0134553,-1.5127686,1
nothing,-1.7713741,0.08412269,4
many,0.5519991,0.8899244,3
something,-2.157703,-0.12864749,4
man,0.3659618,-0.3007024,1
little,-0.7489755,0.12428622,0
scenes,0.99058586,-2.4141355,2
end,0.9769125,1.3700099,3
thing,-2.1284797,-0.5292978,4
great,-0.046489585,0.0051141805,0
show,1.1724083,-1.136538,1
say,-1.2611812,1.2826324,0
funny,-1.7586576,-3.064104,4
watching,-0.66477424,-1.0188509,4
actors,0.9454892,-2.5809407,2
director,1.8043567,-0.8065345,1
life,0.28750604,-0.22850844,1
love,-0.4684204,-1.6471889,4
worst,0.1628496,0.24887562,0
old,1.0211506,0.61187214,3
real,-0.30136603,-0.2545728,0
another,0.8976155,1.0705413,3
script,0.5494199,-2.5569687,2
every,-0.1337726,0.67921257,0
back,0.3918702,1.4665477,3
going,-1.3475349,0.9752288,0
actually,-0.90509623,0.0021349129,0
guy,-1.4274391,-1.4053593,4
got,-0.73208,0.5088908,0
still,-0.1423694,1.2555872,0
want,-1.9003401,0.8067224,0
horror,0.8291849,-3.401865,2
look,-1.0752298,-0.24378435,4
work,0.6166678,0.42573056,3
pretty,-1.9110324,-0.8313054,4
part,1.2995697,0.7023174,3
seems,-1.3568039,-0.3157848,4
minutes,1.0686184,0.7360531,3
best,0.8765099,-0.73402786,1
least,0.43165198,1.5900568,3
give,-0.5309355,1.1471207,0
cast,1.3334602,-1.3581752,1
thought,-1.2480204,0.13315925,4
long,0.6737106,1.1613822,3
around,0.67111015,1.176713,3
take,-0.18443924,1.5081431,0
though,0.20151442,0.6429843,0
enough,-1.0095662,0.92827535,0
fact,-0.4874711,0.12235059,0
original,2.0544515,-0.8572371,1
new,1.862336,1.0152909,3
big,-0.10306171,0.119666934,0
makes,-0.7099328,-0.37608632,4
lot,-1.7157669,0.04438365,4
anything,-2.2783835,0.04898699,4
point,0.48953733,1.3308415,3
however,0.7937049,1.0134373,3
find,-1.139307,0.46752298,0
gets,-0.81968117,-0.34350538,4
making,0.1630016,0.65332687,0
years,1.4545418,1.5228381,3
interesting,-1.3047096,-1.6661868,4
might,-0.99969465,1.0561246,0
money,-0.42581457,1.3356125,0
quite,-1.5221038,-0.3407837,4
away,-0.012411145,1.0935718,0
whole,-0.59727097,0.17059244,0
almost,0.23102584,0.7716514,0
boring,-1.7068954,-1.7256573,4
far,-0.08880181,1.2525156,0
kind,-1.4377531,-0.44038984,4
things,-2.0341563,-0.102245286,4
woman,0.44022426,-0.41216806,1
young,0.7412629,-0.42816943,1
stupid,-2.5426543,-1.7397432,4
right,-0.6464327,1.1937758,0
someone,-1.856892,-0.070864365,4
done,-1.0405586,0.27066764,0
girl,0.39559323,-1.5126618,1
comedy,1.4613484,-3.7346601,2
looking,-0.8995105,0.11920973,0
reason,-1.1609731,0.40444443,0
instead,0.14816472,0.61099577,0
anyone,-1.9599257,0.20284654,4
looks,-1.1008343,-0.8876585,4
saw,0.46135318,0.37711766,3
action,0.74209046,0.040919695,1
awful,-2.000833,-1.560038,4
come,-0.624377,0.89119214,0
without,-0.23257807,1.2403057,0
goes,-0.59717906,-0.24680252,0
bit,-1.6315646,-0.7365298,4
may,0.65761757,1.4378952,3
let,-1.4007213,0.4834555,0
probably,-0.8820484,0.6834145,0
black,1.0882022,-0.25787216,1
music,1.8310966,-1.965555,2
must,-0.76111263,1.5485861,0
feel,-2.2086217,-0.3633027,4
role,1.2205558,-0.60028267,1
world,1.4247738,0.83210856,3
screen,1.1910148,-2.202729,2
hard,-0.90436023,0.57338184,0
killer,0.1987344,-1.4918201,1
put,-0.055067413,1.3268024,0
believe,-1.5487263,0.8451662,0
effects,0.39928797,-0.85517424,1
sure,-1.970119,0.49491858,4
rather,-0.50603515,0.2713548,0
waste,-0.6084505,0.8875117,0
audience,0.2688728,-1.491167,1
last,1.7752794,1.9876587,3
half,1.2626619,1.5090047,3
night,1.0460969,0.12877616,1
book,1.1451792,-1.3800842,1
found,0.8169087,0.8244033,3
times,1.2003198,0.5951496,3
terrible,-1.8824245,-0.96034205,4
actor,1.6132954,-3.056841,2
comes,-0.24210733,-0.058177836,0
since,1.8717042,1.6380451,3
trying,-0.851143,1.0067639,0
main,2.0235553,0.7850626,3
sense,-1.2698473,-0.7109289,4
supposed,-0.6108205,0.14741279,0
poor,-0.11595787,0.7832531,0
performance,1.417442,-0.8151678,1
budget,0.8921747,0.83617663,3
everything,-1.6865549,-0.047271416,4
less,-0.21369764,1.0158418,0
course,-0.2716476,0.7385217,0
maybe,-2.0099065,-0.13892584,4
family,0.83791584,0.12534516,1
simply,-1.1459796,0.016876353,4
low,0.7817853,1.1237173,3
star,1.9331802,-1.3528626,2
series,2.6945012,-1.2032776,2
camera,0.58103585,-1.998296,2
day,1.0746778,1.2402585,3
wrong,-2.2269778,0.049056787,4
shot,1.0480021,0.32742414,3
said,-0.03281411,2.0906048,0
worse,-1.6293873,0.35018945,4
left,0.846876,1.6244066,3
sex,0.2788634,-1.1518645,1
women,0.8126359,0.59733707,3
place,0.7155235,1.2937752,3
ending,1.2160167,0.5933772,3
mean,-1.4871087,0.34225667,4
else,-2.1164482,-0.10901254,4
horrible,-2.0423186,-1.7339425,4
special,1.6373028,-0.119424194,1
always,-1.4661057,-0.19188018,4
high,1.352731,1.3213298,3
either,-0.08331717,0.80934143,0
idea,-0.68365216,-0.2061968,0
completely,-0.85408145,0.23414673,0
watched,0.48588198,-0.5088627,1
try,-0.814302,0.93727463,0
mind,-1.4211059,-0.7295607,4
set,1.4294115,1.1083425,3
everyone,-1.9253842,-0.16766337,4
video,1.8868842,-2.20838,2
second,2.0653489,1.4233109,3
although,0.80116767,0.8461082,3
given,0.6739586,0.71804285,3
problem,-0.94735616,1.0378305,0
year,1.8038574,2.0165715,3
three,2.333658,1.6262958,3
yet,-0.31644028,0.6935611,0
especially,-0.275995,0.19674072,0
short,1.2057474,0.044459786,1
american,1.7764703,0.21411355,3
sort,-1.4305778,-0.7338445,4
dvd,2.0698693,-2.3418727,2
home,1.0942856,1.13966,3
