word,TSNE_1,TSNE_2,cluster
movie,-7.4191813,-14.919643,3
film,-7.199087,-14.69503,3
one,-7.5708113,4.3005085,1
like,8.6706085,-4.903497,2
even,-1.2300011,4.329218,4
good,6.316384,-5.853663,0
bad,14.118582,-2.2252204,2
would,0.7577055,-0.11745123,0
really,8.532497,2.0859137,2
time,-9.253842,3.9005187,1
story,-0.20456535,11.639973,4
see,3.9826865,-1.9722677,0
much,-1.4155047,5.5357504,4
get,3.7175384,-3.9388916,0
could,0.913254,0.23540632,0
made,-4.5845003,1.7378031,1
people,-0.12883273,8.139838,4
make,0.1291933,-3.020444,0
well,-3.6373436,1.9643855,1
plot,0.21025713,12.572659,4
character,-2.0849628,-14.82199,3
first,-8.967018,5.906491,1
movies,-8.028794,-14.612584,3
way,1.3790126,-2.6136963,0
characters,-2.0514233,-14.845351,3
acting,-7.4103336,-6.4310637,3
also,-4.026298,2.789632,1
think,7.57725,-0.80657864,2
watch,0.7583368,-11.057961,3
seen,-1.1040823,3.2564888,4
better,6.128681,-6.12207,0
two,-9.714412,8.716141,1
know,6.913492,-1.0992728,2
ever,1.0240564,4.243815,4
films,-7.820605,-14.565651,3
never,1.9776291,3.6932132,4
scene,-2.8077195,13.960555,4
nothing,8.460077,0.80793405,2
many,-0.5837478,7.442803,4
something,8.696682,1.1761296,2
man,4.608151,11.542556,4
little,11.796516,1.2734712,2
scenes,-2.8128157,13.978437,4
end,-12.852134,5.1590557,1
thing,9.602362,1.8324937,2
great,10.711533,-4.2217526,2
show,-3.993172,-11.748207,3
say,2.5303788,6.236343,4
funny,13.826546,3.7237241,2
watching,0.64772844,-11.118819,3
actors,-4.525422,-14.667609,3
director,-8.314273,-6.6156664,3
life,5.2338023,8.349193,4
love,7.1480117,6.9088945,4
worst,15.617604,-1.9885311,2
old,3.191837,12.039916,4
real,9.945455,-7.683408,2
another,-7.40856,4.455179,1
script,-11.346982,-11.50413,3
every,-8.1905365,3.4048338,1
back,-8.142465,-1.6441356,1
going,2.6793709,-2.4823658,0
actually,2.70685,2.7364063,4
guy,10.885232,6.295726,2
got,4.014362,-4.387672,0
still,-0.20940551,4.9841876,4
want,4.835156,-2.9433403,0
horror,-8.080273,-16.100792,3
look,4.4166226,-1.1347865,0
work,4.2108283,-9.069369,0
pretty,11.2103615,2.9313972,2
part,-6.0591316,2.5340734,1
seems,6.0889616,3.6500695,2
minutes,-11.170637,1.1883788,1
best,-4.4294715,-8.227806,3
least,-3.70166,6.9659767,4
give,-0.07036038,-3.6870866,0
cast,-4.304557,-13.982625,3
thought,3.8035915,3.5457084,4
long,-5.215779,10.071469,4
around,-7.5516524,0.05107487,1
take,0.16677172,-3.2060425,0
though,-1.9057075,3.8736517,4
enough,3.03396,-5.5511727,0
fact,3.1239488,4.434369,4
original,-11.040859,-9.935205,3
new,-7.1238008,5.8598185,1
big,9.245253,-5.510887,2
makes,-1.040496,-5.4707847,0
lot,10.42164,0.16787367,2
anything,8.410473,0.59209216,2
point,-12.906761,2.5816557,1
however,-3.0575387,3.7774665,1
find,2.5874934,-3.658534,0
gets,-0.00841523,-7.5693264,0
making,-1.9135191,-2.4486973,0
years,-11.409424,7.354723,1
interesting,10.552667,4.448092,2
might,1.2202408,0.66202193,0
money,-2.3968995,-3.7525415,0
quite,10.835014,3.084745,2
away,-8.115113,-1.3817211,1
whole,-5.9250937,0.5201063,1
almost,-3.1714149,6.4935555,4
boring,15.218076,2.9482565,2
far,-2.0968347,5.189735,4
kind,8.888346,3.8930264,2
things,9.119165,-0.6165342,2
woman,5.588537,11.567195,4
young,4.8856707,12.984003,4
stupid,15.262998,2.0489037,2
right,-6.9195704,-2.9609163,1
someone,6.3613386,1.2221081,2
done,8.068221,-2.2345734,2
girl,5.8816404,11.301668,4
comedy,-6.8929477,-15.659871,3
looking,4.323396,-0.96565646,0
reason,3.6037002,4.7138295,4
instead,-2.6435025,-0.2953658,0
anyone,6.5623283,0.9927194,2
looks,5.0231857,-0.38518947,0
saw,-0.35840592,2.596436,4
action,-4.7130513,-2.8384414,0
awful,15.906202,0.9823047,2
come,2.2061374,-2.33639,0
without,-1.8177373,0.91383564,0
goes,-0.84785736,-6.87429,0
bit,11.995771,1.6232992,2
may,0.10744454,1.166434,0
let,5.4702854,-3.1126933,0
probably,2.9748116,2.8258004,4
black,4.531655,13.886479,4
music,-5.915996,-11.90531,3
must,0.95115656,-0.98382354,0
feel,8.102215,2.8230793,2
role,-7.149504,-6.3689713,3
world,-7.009664,7.998271,1
screen,-7.3832526,-10.5417,3
hard,3.6850128,-6.262256,0
killer,4.2009954,10.637527,4
put,-5.8077416,-1.6580975,1
believe,3.017296,5.830608,4
effects,12.70419,-7.040871,2
sure,6.9929194,-1.3805627,2
rather,-2.160542,-0.071216375,0
waste,-2.8519979,-1.7145951,0
audience,-1.6826379,-11.467799,3
last,-11.196211,6.0488997,1
half,-10.697501,1.4575273,1
night,-11.214682,3.4246438,1
book,-0.30157074,11.411449,4
found,-2.3643665,8.478368,4
times,-9.429144,4.436514,1
terrible,16.154118,0.33234528,2
actor,-4.933599,-15.135772,3
comes,-0.94330674,-6.6259847,0
since,-11.592627,7.224592,1
trying,1.6167622,-4.763121,0
main,-6.857328,2.3913581,1
sense,8.56708,5.425316,2
supposed,2.171057,1.8292588,0
poor,13.329578,-4.8334374,2
performance,-4.1516995,-8.960304,3
budget,-14.851539,3.5157747,1
everything,8.785552,-0.61668456,2
less,-1.98603,6.2476125,4
course,1.9675909,-7.4174113,0
maybe,9.549287,0.47129714,2
family,2.987138,0.5416434,0
simply,-1.2906237,-0.33572057,0
low,-7.5879264,12.55729,1
star,-4.0606775,-17.198406,3
series,-14.248343,-2.9670515,1
camera,-7.401542,-10.424174,3
day,-11.048956,3.9597456,1
wrong,12.29382,-0.45358673,2
shot,-10.090544,-2.9850042,1
said,1.5710943,7.0123553,4
worse,14.446583,-2.1688445,2
left,-8.159019,-2.4903665,1
sex,7.127469,10.092167,4
women,6.4512014,12.761749,4
place,-9.222012,2.540102,1
ending,-13.103003,5.266798,1
mean,11.144779,-1.7467605,2
else,7.2502813,0.538044,2
horrible,16.103825,0.6302324,2
special,-5.3970785,3.2274814,1
always,6.8591294,2.807916,2
high,-7.8684154,12.57218,1
either,-2.7102242,0.12612963,0
idea,4.7518783,4.9861975,4
completely,-1.0069118,-1.0099894,0
watched,0.103665955,-11.319761,3
try,1.3720863,-4.695401,0
mind,7.674632,4.8501487,2
set,-8.649717,1.3734367,1
everyone,6.7665215,0.13552229,2
video,-8.142246,-11.711662,3
second,-9.071279,5.996642,1
although,-2.8074918,3.7457383,4
